Type,id,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--unidirectional,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--has_capacity,edges--transmission_edge--max_capacity,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--can_retire,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_new_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--start_vertex,edges--transmission_edge--can_expand,edges--transmission_edge--end_vertex
TransmissionLink,Line168ExistingDC_Region25Yunnan_to_Region20Guangxi,100,false,Electricity,0.062,100,true,3200,true,true,true,false,0.065,0,3200,20004.50667,elec_Region25Yunnan,false,elec_Region20Guangxi
TransmissionLink,Line169ExistingDC_Region29Qinghai_to_Region16Henan,100,false,Electricity,0.062,100,true,8000,true,true,true,false,0.065,0,8000,22052.35434,elec_Region29Qinghai,false,elec_Region16Henan
TransmissionLink,Line170ExistingDC_Region25Yunnan_to_Region24Guizhou,100,false,Electricity,0.062,100,true,3000,true,true,true,false,0.01,0,3000,4961.726222,elec_Region25Yunnan,false,elec_Region24Guizhou
TransmissionLink,Line171ExistingDC_Region3Hebei_to_Region1Beijing,100,false,Electricity,0.062,100,true,3000,true,true,true,false,0.06,0,3000,13934.9188,elec_Region3Hebei,false,elec_Region1Beijing
TransmissionLink,Line172CandidateDC_Region25Yunnan_to_Region19Guangdong,100,false,Electricity,0.062,100,true,16000,true,true,true,false,0.065,16000,0,21248.47607,elec_Region25Yunnan,true,elec_Region19Guangdong
TransmissionLink,Line173CandidateDC_Region31Xinjiang_to_Region23Sichuan,100,false,Electricity,0.062,100,true,24000,true,true,true,false,0.065,24000,0,30686.60725,elec_Region31Xinjiang,true,elec_Region23Sichuan
TransmissionLink,Line174CandidateDC_Region23Sichuan_to_Region11Zhejiang,100,false,Electricity,0.062,100,true,16000,true,true,true,false,0.065,16000,0,25660.87456,elec_Region23Sichuan,true,elec_Region11Zhejiang
TransmissionLink,Line175CandidateDC_Region23Sichuan_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,16000,true,true,true,false,0.065,16000,0,25535.82683,elec_Region23Sichuan,true,elec_Region10Jiangsu
TransmissionLink,Line176CandidateDC_Region27Shaanxi_to_Region17Hubei,100,false,Electricity,0.062,100,true,16000,true,true,true,false,0.065,16000,0,19372.76012,elec_Region27Shaanxi,true,elec_Region17Hubei
TransmissionLink,Line177CandidateDC_Region23Sichuan_to_Region14Jiangxi,100,false,Electricity,0.062,100,true,16000,true,true,true,false,0.065,16000,0,22790.73142,elec_Region23Sichuan,true,elec_Region14Jiangxi
TransmissionLink,Line178CandidateDC_Region31Xinjiang_to_Region16Henan,100,false,Electricity,0.062,100,true,16000,true,true,true,false,0.065,16000,0,27111.08768,elec_Region31Xinjiang,true,elec_Region16Henan
