ID,Cata,源,汇,NEWID,NO,Status,SY,YR,CA（MW）,UH（h）,SP（g/kWh）,CE（Mt/年）,TCE（Mt）,lat1,lng1,源lat,源lng,汇lat,汇lng,UT,是否热电联产,距离,最近埋存点,埋存点性质,总碳封存额（Mt）
5748,煤源,Y5748,,CSP5748,1,07 Pre-permit,2025,,1000,3330,279.89,2.60969436,80.90052516,33.086416,111.90004,33.086416,111.90004,,,超超临界,常规煤电,55.10717773,CCS024,陆地埋存,7500
5749,煤源,Y5749,,CSP5749,1,07 Pre-permit,2025,,1000,3330,279.89,2.60969436,80.90052516,33.086416,111.90004,33.086416,111.90004,,,超超临界,常规煤电,55.10717773,CCS024,陆地埋存,7500
5750,煤源,Y5750,,CSP5750,1,08 Announced,2025,,1000,4403,273.97,3.377611748,104.7059642,39.928756,113.09192,39.928756,113.09192,,,超超临界,热电联产,265.7864995,CCS071,陆地埋存,0.3
5751,煤源,Y5751,,CSP5751,1,08 Announced,2025,,1000,4403,321.7,3.96604628,122.9474347,39.928756,113.09192,39.928756,113.09192,,,超超临界,热电联产,265.7864995,CCS071,陆地埋存,0.3
5752,煤源,Y5752,,CSP5752,1,08 Announced,2025,,71,5144,310.5,0.317525746,9.843298114,28.55876201,115.915438,28.55876201,115.915438,,,亚临界,热电联产,372.5094118,CCS016,陆地埋存,52800
5753,煤源,Y5753,,CSP5753,1,08 Announced,2026,,660,5260,290,2.8189392,90.2060544,44.573812,90.258086,44.573812,90.258086,,,亚临界,热电联产,78.12692358,CCS107,陆地埋存,13.24
5754,煤源,Y5754,,CSP5754,1,08 Announced,2026,,660,5260,290,2.8189392,90.2060544,44.573812,90.258086,44.573812,90.258086,,,亚临界,热电联产,78.12692358,CCS107,陆地埋存,13.24
5755,煤源,Y5755,,CSP5755,1,08 Announced,2025,,1000,4577,282.7,3.62297012,112.3120737,32.647152,117.01741,32.647152,117.01741,,,超超临界,常规煤电,238.0705323,CCS007,陆地埋存,178000
5756,煤源,Y5756,,CSP5756,1,08 Announced,2025,,1000,4577,282.7,3.62297012,112.3120737,32.647152,117.01741,32.647152,117.01741,,,超超临界,常规煤电,238.0705323,CCS007,陆地埋存,178000
5757,煤源,Y5757,,CSP5757,1,08 Announced,2026,,1000,4403,331.17,4.082796228,130.6494793,35.466123,112.5742039,35.466123,112.5742039,,,超超临界,常规煤电,232.3600395,CCS104,陆地埋存,25.36
5758,煤源,Y5758,,CSP5758,1,08 Announced,2026,,1000,4403,328.33,4.047783572,129.5290743,35.466123,112.5742039,35.466123,112.5742039,,,超超临界,常规煤电,232.3600395,CCS104,陆地埋存,25.36
5759,煤源,Y5759,,CSP5759,1,08 Announced,2025,,660,3909,321.24,2.320583792,71.93809754,45.317205,124.491644,45.317205,124.491644,,,超超临界,热电联产,4.292843554,CCS109,陆地埋存,12.9
5760,煤源,Y5760,,CSP5760,1,08 Announced,2025,,30,3909,315,0.10343214,3.20639634,42.78598379,125.455029,42.78598379,125.455029,,,亚临界,热电联产,158.7151403,CCS026,陆地埋存,1570
5761,煤源,Y5761,,CSP5761,1,08 Announced,2025,,30,3909,315,0.10343214,3.20639634,42.78598379,125.455029,42.78598379,125.455029,,,亚临界,热电联产,158.7151403,CCS026,陆地埋存,1570
5762,煤源,Y5762,,CSP5762,1,08 Announced,2025,,30,3909,313,0.102775428,3.186038268,42.677212,125.530687,42.677212,125.530687,,,亚临界,热电联产,171.1170589,CCS026,陆地埋存,1570
5763,煤源,Y5763,,CSP5763,1,08 Announced,2025,,50,3951,320,0.1770048,5.4871488,41.809863,124.096807,41.809863,124.096807,,,亚临界,热电联产,85.92956323,CCS132,陆地埋存,12.21
